500 1993
1 71 81
1 203 42
1 369 1
1 426 88
2 108 98
2 356 76
2 370 15
3 88 44
3 340 55
3 349 67
3 420 70
3 471 42
3 489 34
4 133 69
4 226 97
4 394 18
4 474 61
4 483 78
5 60 86
5 324 14
5 370 71
6 24 5
6 51 44
6 108 9
6 214 14
6 225 22
6 273 26
6 348 74
6 418 86
6 461 94
7 391 54
7 396 81
7 455 37
8 22 64
8 49 32
8 71 93
8 195 35
8 234 73
8 320 68
9 269 69
9 295 37
9 326 8
10 42 77
10 93 24
10 272 41
10 365 57
11 41 71
11 113 91
11 120 15
11 151 52
11 320 43
11 347 13
11 439 76
11 462 68
12 351 12
12 406 69
12 414 18
13 39 48
14 91 17
14 302 38
14 363 73
14 469 67
15 39 40
15 442 84
16 97 11
16 250 30
16 393 15
16 439 84
17 147 37
18 158 54
18 370 52
19 0 18
19 71 9
19 266 45
19 293 76
19 319 2
19 348 19
19 451 95
19 495 91
20 255 59
20 282 98
20 383 99
20 419 33
20 450 88
21 92 71
21 120 30
21 134 78
21 190 86
21 303 66
21 351 85
21 365 69
22 3 20
22 69 53
22 97 70
22 148 64
22 209 69
22 481 93
23 8 52
23 29 14
23 289 33
24 27 58
24 147 42
24 352 9
24 353 71
24 460 45
24 498 85
25 7 16
25 145 72
27 247 96
27 270 85
27 382 77
27 465 44
28 235 55
28 275 93
29 73 78
29 145 99
29 263 40
29 404 93
31 56 79
31 433 67
31 465 85
32 98 17
33 238 25
33 249 96
33 285 50
33 321 93
34 119 5
34 164 47
34 170 72
34 240 19
34 457 76
35 24 55
37 247 61
37 372 50
38 164 16
38 316 29
38 328 66
38 414 81
39 23 53
39 133 22
39 152 77
39 271 81
39 326 16
39 422 42
40 35 52
40 116 2
40 140 12
40 250 54
40 436 58
41 107 62
41 150 73
41 178 60
41 211 100
42 31 52
42 119 62
42 128 86
42 135 35
42 208 54
42 353 9
42 389 60
43 17 75
43 217 22
43 275 75
43 324 84
44 54 57
44 306 32
44 444 98
45 64 61
45 287 95
45 466 34
46 202 25
46 308 96
46 319 40
46 357 93
47 176 33
47 258 1
47 482 52
48 192 36
48 402 2
48 429 61
49 209 28
49 268 33
49 478 94
50 69 75
50 125 93
50 368 13
50 375 12
50 438 26
50 446 65
51 56 15
51 209 9
51 237 30
51 337 2
51 348 2
51 433 79
52 51 95
52 172 76
52 231 77
52 308 49
52 313 88
52 353 40
53 102 42
53 104 3
53 264 32
53 272 38
53 301 24
53 378 63
53 436 6
53 443 7
53 496 66
53 498 11
54 286 100
54 321 96
55 27 55
55 109 11
55 206 99
55 232 5
55 238 60
55 450 96
56 199 35
56 396 91
57 457 15
58 27 36
58 114 21
58 267 82
58 375 88
58 418 78
59 5 7
59 214 13
59 215 86
59 265 37
59 360 14
60 45 39
60 163 44
61 32 71
61 58 16
61 184 96
61 299 81
61 364 58
62 18 47
62 293 52
62 327 60
62 486 56
63 222 29
63 252 94
63 260 94
63 316 3
63 462 67
64 14 22
64 26 83
64 36 83
64 318 20
64 441 71
65 35 66
65 51 91
65 55 61
65 132 1
65 178 10
65 232 31
66 242 76
66 347 69
67 9 27
67 75 7
67 450 36
68 57 26
68 199 29
68 488 82
69 155 26
69 158 96
69 244 41
70 81 44
70 228 3
70 317 40
70 364 73
70 465 35
71 150 85
71 259 33
71 404 30
72 122 13
72 271 49
72 424 31
72 431 34
72 483 67
72 489 59
73 16 27
73 33 45
73 330 70
73 482 12
74 30 16
74 74 23
74 205 51
74 498 14
75 36 27
75 102 37
75 182 79
75 366 23
75 400 17
75 439 15
76 342 12
76 402 15
77 83 86
77 242 100
77 397 88
78 475 62
79 49 16
79 182 95
79 193 2
79 312 57
79 327 62
79 421 71
79 445 97
80 18 72
80 200 3
80 465 20
80 492 2
81 452 20
82 19 87
82 55 56
82 112 66
82 248 31
82 263 12
82 344 35
82 475 94
83 42 66
83 70 4
83 92 84
83 213 19
83 259 77
83 263 3
83 382 45
83 417 32
84 2 48
84 60 44
84 453 80
85 44 35
85 247 9
85 253 50
85 298 9
85 405 3
85 456 87
86 83 38
86 165 46
86 241 77
87 60 62
87 150 61
87 274 46
87 305 47
87 310 23
88 152 98
88 228 67
88 377 23
88 413 12
89 84 68
89 206 32
89 351 61
89 359 68
89 365 93
90 66 93
90 195 45
90 228 82
90 269 82
90 403 99
90 414 19
90 477 33
91 409 48
91 450 24
92 206 33
92 326 27
92 360 88
92 394 25
93 156 33
93 354 24
94 15 59
94 90 48
94 96 64
94 111 35
94 142 58
94 195 91
94 390 38
95 107 53
95 260 78
95 486 24
96 10 3
96 132 93
96 203 62
96 381 96
97 122 47
97 172 18
97 234 30
97 414 64
98 80 35
98 263 97
98 281 12
98 302 5
98 304 52
98 362 28
98 363 85
99 20 78
99 117 93
99 119 91
99 365 55
99 427 21
100 98 99
100 279 32
100 497 32
101 89 35
101 118 64
101 144 80
101 279 100
101 361 91
102 29 82
102 40 8
102 356 76
102 423 44
102 458 92
103 169 100
103 238 47
103 283 100
104 189 44
104 212 63
104 409 18
105 155 61
105 248 85
106 227 76
107 55 31
107 287 80
108 16 50
108 66 30
108 215 63
108 247 85
108 311 15
108 338 26
108 375 92
109 31 93
109 71 36
109 152 58
109 387 100
110 190 66
110 375 93
111 255 58
111 265 65
111 314 25
111 441 29
112 50 2
112 247 36
112 275 24
112 347 40
112 351 26
113 241 97
113 256 47
113 303 74
113 389 56
114 71 22
114 165 47
114 456 20
115 117 52
115 128 91
115 175 90
115 254 26
117 25 10
117 50 19
117 153 68
117 180 33
117 214 68
117 232 53
117 380 6
118 281 59
119 164 41
119 405 39
119 454 51
120 36 99
120 288 94
120 386 53
121 160 9
121 214 4
121 220 61
121 311 94
121 315 47
122 18 28
122 237 98
123 204 15
123 311 64
123 462 65
124 430 74
124 458 59
125 28 66
125 143 49
125 375 42
125 380 100
126 6 21
126 315 85
127 145 35
127 266 80
127 443 26
127 484 72
128 90 11
128 99 84
128 168 43
128 182 91
128 296 95
128 315 57
128 351 87
128 356 12
128 410 58
129 124 40
129 425 89
129 478 27
130 46 7
130 91 62
130 99 73
130 329 85
131 1 22
131 159 30
131 246 75
131 257 21
131 310 35
132 75 25
132 220 9
132 265 93
132 323 80
133 130 60
133 174 16
133 240 98
133 245 28
133 311 12
133 375 72
133 463 74
134 321 10
134 440 77
135 209 49
135 211 79
135 292 98
135 420 45
136 141 42
136 299 55
136 389 22
136 440 22
136 470 5
137 16 79
137 135 19
137 247 1
137 271 8
137 303 28
137 451 70
138 20 72
138 182 33
138 212 78
139 93 20
139 310 30
139 318 76
139 411 91
139 468 98
140 12 43
140 163 85
140 268 59
140 335 64
140 340 18
140 366 52
141 160 44
141 174 64
141 299 11
141 415 32
142 36 34
142 186 86
142 418 3
143 116 4
143 150 37
143 255 65
143 452 2
144 416 93
145 154 57
145 167 23
145 200 62
145 383 1
146 56 88
146 60 64
146 175 44
146 396 98
146 491 81
147 129 32
147 188 48
147 357 5
147 436 16
148 141 36
148 461 48
149 181 94
150 104 96
150 436 91
151 204 81
151 253 59
152 60 63
152 168 87
152 179 65
152 218 16
152 267 84
153 24 65
153 128 55
153 129 8
153 419 16
153 456 59
153 468 12
154 15 91
154 285 85
154 326 50
155 49 2
155 60 11
155 87 95
155 273 27
156 64 85
156 122 8
156 138 84
156 143 46
156 254 11
156 393 58
157 130 67
157 223 95
157 226 14
157 283 77
157 370 11
157 389 91
158 0 59
158 17 91
158 40 75
158 113 55
158 455 44
158 481 2
159 43 99
159 75 95
159 88 37
159 190 94
159 317 67
159 477 39
160 59 58
161 276 62
161 441 94
162 227 40
162 235 59
162 242 94
162 260 27
162 307 58
162 323 99
162 474 17
163 30 12
163 233 13
163 291 36
163 301 51
164 113 49
164 209 95
164 226 97
164 307 24
164 462 26
164 498 16
165 4 72
165 210 93
165 255 65
165 323 79
165 473 70
166 4 21
166 75 52
166 139 44
166 314 19
166 408 32
166 489 4
167 422 98
168 256 30
168 404 70
168 438 90
168 445 44
168 460 49
168 470 97
169 19 82
169 94 63
169 141 23
169 171 75
169 199 60
169 392 47
169 471 4
170 20 15
170 74 13
170 75 5
170 405 24
171 167 19
171 429 94
171 458 76
172 3 67
172 96 39
172 106 8
172 261 63
172 323 88
172 380 34
173 295 88
173 364 31
173 373 80
173 391 97
174 72 90
174 90 80
174 132 83
175 66 35
175 145 77
175 176 58
175 234 87
175 400 79
175 449 37
176 102 43
176 413 68
176 484 18
177 149 94
177 159 64
178 76 8
178 133 2
178 189 1
178 191 78
178 197 2
178 300 81
178 354 95
178 440 82
179 104 28
179 115 49
179 424 27
179 442 31
180 0 1
180 44 35
180 223 34
180 237 90
180 276 54
180 289 69
180 442 96
180 456 44
181 118 4
181 210 27
182 104 67
182 238 99
182 250 89
182 259 97
182 290 7
183 5 26
183 128 65
183 169 83
183 405 69
184 27 71
184 438 21
185 19 21
185 61 39
185 269 65
185 447 94
186 49 90
186 79 91
186 159 12
187 23 78
187 356 35
188 78 57
188 204 61
188 220 37
188 390 78
189 175 52
189 213 84
189 345 70
190 54 40
190 65 85
190 192 18
190 457 99
191 81 14
191 175 12
191 209 64
191 312 5
191 329 49
191 361 95
191 457 16
191 466 13
192 198 32
192 249 82
192 277 48
192 450 81
193 21 35
193 28 28
193 363 70
194 177 86
194 344 19
194 352 93
194 364 83
194 454 28
195 39 21
195 227 65
195 323 42
195 333 35
195 370 80
195 377 45
195 443 81
196 53 25
196 301 56
196 451 8
197 138 30
197 459 90
198 39 66
198 92 79
198 130 64
198 238 9
198 243 89
199 280 15
199 446 37
199 479 53
199 491 75
200 28 55
200 93 79
200 94 70
200 167 59
200 468 34
201 221 65
201 267 49
201 402 16
201 493 86
202 123 4
202 337 60
204 5 61
204 84 10
204 145 33
204 256 41
204 267 59
204 278 71
204 304 16
204 425 99
205 174 59
205 228 98
205 259 70
205 293 64
206 110 34
206 166 63
206 170 77
206 199 87
206 257 58
206 481 53
207 125 79
207 291 13
207 478 34
208 4 63
208 146 91
208 189 64
208 210 18
208 302 22
208 446 14
208 479 6
209 66 86
209 115 82
209 290 90
209 388 1
209 439 23
210 26 77
210 66 68
210 92 74
211 345 66
211 487 45
212 88 47
212 378 56
213 52 30
213 120 89
213 216 7
213 233 76
214 8 76
214 251 63
214 445 33
215 74 49
215 118 27
215 170 9
215 476 95
216 108 86
216 121 72
216 179 18
216 247 10
216 309 64
216 374 23
217 82 39
217 93 11
217 200 93
217 388 68
217 456 28
217 465 82
217 474 61
218 125 26
218 207 31
218 305 93
218 343 33
219 27 1
219 183 85
219 217 89
219 301 48
219 440 10
220 30 84
220 49 57
220 396 89
221 53 67
221 76 80
221 133 65
221 142 79
221 143 18
221 262 15
221 398 85
221 414 34
222 11 14
222 428 52
222 454 69
223 130 83
224 167 5
224 243 57
224 296 33
224 346 60
225 13 31
225 183 61
225 241 6
225 304 79
225 372 15
226 45 31
226 141 97
226 168 91
226 278 16
226 290 49
226 463 22
227 213 85
227 246 87
227 302 15
227 386 49
227 411 47
227 442 58
228 38 97
228 45 84
228 79 91
228 300 47
228 304 7
229 46 2
229 122 69
230 247 26
230 268 93
230 362 54
230 379 72
230 425 35
231 5 91
231 16 10
231 155 69
231 236 62
231 416 21
232 112 51
232 170 10
232 479 49
233 209 35
233 311 25
234 25 93
234 226 25
234 251 79
234 299 75
234 327 11
234 370 48
234 389 97
234 487 66
235 54 9
235 204 23
236 121 63
236 309 88
236 349 97
236 364 67
236 476 3
237 41 69
237 305 25
237 449 17
238 215 57
238 288 34
238 312 46
238 391 98
239 4 42
239 37 95
239 85 23
239 194 27
239 198 91
239 322 2
239 375 24
239 408 56
240 154 3
240 258 65
240 330 80
240 413 85
240 467 79
241 134 75
241 258 52
242 148 46
242 150 71
242 156 14
242 408 9
242 449 86
242 493 100
243 111 86
243 191 20
244 57 21
244 155 92
244 293 53
244 346 98
245 196 63
245 391 35
245 416 96
245 495 38
246 40 30
246 173 71
246 276 74
247 6 3
247 52 70
247 235 49
247 342 68
248 17 57
248 309 6
248 431 74
248 441 53
249 78 46
249 116 58
249 300 53
249 362 20
250 101 2
250 128 59
250 389 73
250 401 44
250 413 30
250 461 17
250 483 25
251 42 26
251 49 7
251 143 40
251 210 61
251 281 25
251 289 15
251 427 12
252 244 39
252 330 61
252 394 80
252 414 87
253 45 60
253 156 81
253 479 92
254 66 13
254 77 67
254 232 46
254 288 21
254 309 66
254 335 82
255 291 25
255 312 97
255 384 77
256 55 22
256 157 33
256 277 38
256 410 75
257 48 58
257 298 37
257 437 68
257 493 93
258 65 80
258 215 56
260 52 77
260 93 94
260 394 100
261 100 40
261 265 21
262 43 10
262 202 36
262 347 66
262 385 94
263 29 52
263 264 87
264 22 14
264 175 4
264 297 72
264 369 72
264 424 25
265 100 11
265 392 94
265 463 37
265 488 3
266 148 44
266 176 43
266 372 15
267 34 35
267 173 38
268 70 87
268 172 2
268 271 58
269 169 82
269 200 83
269 436 97
269 439 14
270 208 76
270 214 34
270 235 38
270 300 61
270 325 13
270 408 16
270 439 60
271 145 19
271 147 43
271 189 26
271 202 1
271 257 54
271 464 45
272 77 99
272 228 43
272 346 100
274 22 43
274 126 87
274 249 92
274 384 96
276 226 14
276 341 35
276 372 70
277 445 63
278 145 39
278 208 94
278 235 17
278 339 89
279 116 17
279 118 4
280 44 15
280 163 9
280 354 62
281 74 78
281 133 36
281 341 79
281 363 6
281 427 11
281 447 20
282 11 90
282 116 20
282 156 92
282 192 76
282 272 74
282 296 84
282 486 76
283 148 78
283 191 14
283 307 93
283 473 28
284 269 35
284 480 78
285 318 77
285 324 52
285 398 54
285 428 3
285 457 52
286 77 4
286 114 58
286 170 21
286 274 23
286 335 31
286 402 30
287 83 17
287 184 2
287 231 24
287 333 18
287 439 26
288 132 63
288 141 86
288 352 97
289 14 14
289 59 46
289 71 75
289 89 94
289 302 53
289 381 78
290 109 1
290 150 84
290 397 64
290 398 13
290 453 39
291 136 29
291 139 73
291 206 35
291 258 19
291 326 45
291 435 88
291 463 78
292 173 64
292 204 70
292 208 46
292 212 83
292 215 43
292 350 56
292 483 33
293 226 97
293 234 24
294 34 34
294 189 52
294 397 59
294 471 68
294 483 53
295 43 62
295 153 37
295 180 59
295 184 79
295 293 100
295 439 76
295 444 40
296 1 65
296 105 68
296 140 52
296 297 79
296 467 11
296 472 19
297 9 9
297 239 2
297 244 39
297 426 82
298 114 4
298 339 4
298 436 14
299 135 91
299 148 12
299 365 51
300 20 66
300 351 74
300 368 38
300 493 69
300 495 18
301 57 38
301 69 83
301 124 64
301 168 57
301 178 54
301 304 18
301 374 28
302 439 72
302 451 64
303 10 26
303 99 65
303 117 16
303 237 30
304 79 80
304 103 84
304 136 8
305 100 92
305 275 79
306 126 75
306 386 68
307 1 51
307 29 18
307 31 64
307 76 51
307 77 16
307 305 60
308 83 32
308 220 91
308 266 52
308 318 71
308 434 47
309 11 42
309 53 14
309 212 11
309 232 91
310 47 68
310 247 79
310 269 70
310 496 40
311 196 92
311 226 16
311 269 15
311 330 86
311 386 85
311 402 4
311 422 16
312 316 68
312 492 80
313 116 25
313 160 92
313 453 79
313 461 51
314 51 90
314 305 57
314 361 23
315 20 33
315 317 93
315 403 64
315 442 10
316 5 70
316 242 34
316 345 79
316 460 43
317 49 33
318 23 92
318 221 75
318 295 5
318 401 48
318 418 91
319 34 84
319 88 96
319 156 74
319 189 18
319 260 23
319 272 21
